platform,category,action,represented_sors,action_numerator,action_prevalence,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,PROVISION_PARTIAL_SUSPENSION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,PROVISION_PARTIAL_TERMINATION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,PROVISION_TOTAL_SUSPENSION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,PROVISION_TOTAL_TERMINATION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,MONETARY_TERMINATION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,MONETARY_SUSPENSION,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_DEMOTED,9808,9666,0.98552202,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_REMOVED,9808,141,0.01437602,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_DISABLED,9808,1,0.00010196,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,VISIBILITY_OTHER,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_AGE_RESTRICTED,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_INTERACTION_RESTRICTED,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,CONTENT_LABELLED,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,ACCOUNT_TERMINATED,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,ACCOUNT_SUSPENDED,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,PROVISION_PARTIAL_SUSPENSION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,PROVISION_PARTIAL_TERMINATION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,PROVISION_TOTAL_SUSPENSION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,PROVISION_TOTAL_TERMINATION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,MONETARY_TERMINATION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,MONETARY_SUSPENSION,9808,0,0.0,0.00010574,True
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,ACCOUNT_TERMINATED,31018501,25018155,0.8065559,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_REMOVED,31018501,4300094,0.13862997,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_DEMOTED,31018501,1697525,0.05472621,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_DISABLED,31018501,1868,6.022e-05,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,ACCOUNT_SUSPENDED,31018501,511,1.647e-05,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,MONETARY_SUSPENSION,31018501,348,1.122e-05,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,VISIBILITY_OTHER,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_AGE_RESTRICTED,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_INTERACTION_RESTRICTED,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,CONTENT_LABELLED,31018501,0,0.0,0.33440861,False
